spec;sk;k1;k2;k3;k4;k5;k6;b;p_b
capture noisily reghdfe  loghwagenet_win att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                                          c.pers_evw1 c.pers_agw1 c.p;49;1;1;2;1;5;1;.066640519;.00047133988
capture noisily mixed    loghwagenet_win att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                                          c.pers_evw1 c.pers_agw1 c.p;50;1;1;2;1;5;2;.033897758;.014535766
capture noisily mixed    loghwagenet_win att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                                          c.pers_evw1 c.pers_agw1 c.p;51;1;1;2;1;5;3;.059488546;.00027073282
capture noisily reghdfe  loghwagenet att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                                          c.pers_evw1 c.pers_agw1 c.pers_;52;1;1;2;1;6;1;.076736189;.00032040369
capture noisily mixed    loghwagenet att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                                          c.pers_evw1 c.pers_agw1 c.pers_;53;1;1;2;1;6;2;.041822374;.0091224322
capture noisily mixed    loghwagenet att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                                          c.pers_evw1 c.pers_agw1 c.pers_;54;1;1;2;1;6;3;.068182491;.00026167234
capture noisily reghdfe  loghwagegross_trim c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                                          c.pers_evw1 c.pers_agw1 c;55;1;1;2;2;1;1;.015647808;.050683659
capture noisily mixed    loghwagegross_trim c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                                          c.pers_evw1 c.pers_agw1 c;56;1;1;2;2;1;2;.0050787083;.39316911
capture noisily mixed    loghwagegross_trim c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                                          c.pers_evw1 c.pers_agw1 c;57;1;1;2;2;1;3;.011043605;.10342983
capture noisily reghdfe  loghwagegross_win c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                                          c.pers_evw1 c.pers_agw1 c.;58;1;1;2;2;2;1;.02380199;.0067978678
capture noisily mixed    loghwagegross_win c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                                          c.pers_evw1 c.pers_agw1 c.;59;1;1;2;2;2;2;.008116669;.21423988
capture noisily mixed    loghwagegross_win c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                                          c.pers_evw1 c.pers_agw1 c.;60;1;1;2;2;2;3;.016410064;.026201978
capture noisily reghdfe  loghwagegross c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                                          c.pers_evw1 c.pers_agw1 c.pers;61;1;1;2;2;3;1;.028045334;.0035236499
capture noisily mixed    loghwagegross c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                                          c.pers_evw1 c.pers_agw1 c.pers;62;1;1;2;2;3;2;.0080904951;.26858923
capture noisily mixed    loghwagegross c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                                          c.pers_evw1 c.pers_agw1 c.pers;63;1;1;2;2;3;3;.02111119;.011821258
capture noisily reghdfe  loghwagenet_trim c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                                          c.pers_evw1 c.pers_agw1 c.p;64;1;1;2;2;4;1;.017157661;.0032584937
capture noisily mixed    loghwagenet_trim c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                                          c.pers_evw1 c.pers_agw1 c.p;65;1;1;2;2;4;2;.010198711;.025214951
capture noisily mixed    loghwagenet_trim c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                                          c.pers_evw1 c.pers_agw1 c.p;66;1;1;2;2;4;3;.015153806;.0026762295
capture noisily reghdfe  loghwagenet_win c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                                          c.pers_evw1 c.pers_agw1 c.pe;67;1;1;2;2;5;1;.0209982;.0030308256
capture noisily mixed    loghwagenet_win c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                                          c.pers_evw1 c.pers_agw1 c.pe;68;1;1;2;2;5;2;.010972323;.030255228
capture noisily mixed    loghwagenet_win c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                                          c.pers_evw1 c.pers_agw1 c.pe;69;1;1;2;2;5;3;.018077021;.0032666752
capture noisily reghdfe  loghwagenet c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                                          c.pers_evw1 c.pers_agw1 c.pers_c;70;1;1;2;2;6;1;.021947807;.0057515032
capture noisily mixed    loghwagenet c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                                          c.pers_evw1 c.pers_agw1 c.pers_c;71;1;1;2;2;6;2;.011483763;.050653264
capture noisily mixed    loghwagenet c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                                          c.pers_evw1 c.pers_agw1 c.pers_c;72;1;1;2;2;6;3;.018767565;.0070512677
capture noisily reghdfe  loghwagegross_trim att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                     ;73;1;1;3;1;1;1;.05560267;.0094062686
capture noisily mixed    loghwagegross_trim att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                     ;74;1;1;3;1;1;2;.013662994;.35901991
capture noisily mixed    loghwagegross_trim att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                     ;75;1;1;3;1;1;3;.0417553;.018927053
capture noisily reghdfe  loghwagegross_win att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                      ;76;1;1;3;1;2;1;.063678063;.0064646169
capture noisily mixed    loghwagegross_win att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                      ;77;1;1;3;1;2;2;.01872427;.26141283
capture noisily mixed    loghwagegross_win att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                      ;78;1;1;3;1;2;3;.047245175;.015231865
capture noisily reghdfe  loghwagegross att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                          ;79;1;1;3;1;3;1;.069659606;.006601837
capture noisily mixed    loghwagegross att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                          ;80;1;1;3;1;3;2;.016833276;.37005243
capture noisily mixed    loghwagegross att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                          ;81;1;1;3;1;3;3;.055621635;.016249428
capture noisily reghdfe  loghwagenet_trim att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                       ;82;1;1;3;1;4;1;.058281958;.000046080655
capture noisily mixed    loghwagenet_trim att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                       ;83;1;1;3;1;4;2;.038661886;.0009183783
capture noisily mixed    loghwagenet_trim att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                       ;84;1;1;3;1;4;3;.054889936;7.0678871e-06
capture noisily reghdfe  loghwagenet_win att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                        ;85;1;1;3;1;5;1;.063478544;.00024374059
capture noisily mixed    loghwagenet_win att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                        ;86;1;1;3;1;5;2;.035061587;.0076023093
capture noisily mixed    loghwagenet_win att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                        ;87;1;1;3;1;5;3;.059202828;.000064773783
capture noisily reghdfe  loghwagenet att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                            ;88;1;1;3;1;6;1;.068278104;.0003459437
